source target
1351 1532
1351 5860
4968 14794
4968 8676
4968 11413
4968 8616
4968 8567
4968 6140
4968 14079
4968 11449
4968 10552
4968 7765
4968 15564
4968 13617
4968 7247
4968 8579
4968 16687
4968 8739
3843 5222
84 8959
556 2445
556 5886
5808 9699
15730 16490
3699 14030
3699 8159
3699 16312
10022 11259
10022 11000
4633 15095
4633 6240
4633 5707
4633 8534
1231 9699
1231 2532
2535 15249
9175 11820
11222 17151
13750 14206
12511 15692
12511 15063
13330 16487
13396 16792
13396 16430
13396 15525
11609 16542
4345 7746
4345 9020
4345 7433
5447 6710
5447 14085
11717 15951
13274 14958
6792 9861
7610 11659
15576 16689
6860 10128
6860 16381
6225 16045
6225 11241
12908 16045
5078 8689
871 10072
871 3823
871 5616
871 6274
1743 16461
1743 3440
1743 4811
1743 9249
10476 14394
5892 12236
5892 9648
7926 14514
1007 1202
1007 1452
1007 9325
1007 5237
2406 2634
2406 8664
2406 4081
2406 10900
2406 11653
2406 10087
2406 14683
2406 9019
2406 16692
2406 5735
2406 3483
2634 12234
2634 4900
2634 9102
2634 8664
2634 14602
2634 4081
2634 10900
2634 11104
2634 11653
2634 13619
2634 10087
2634 14683
2634 14280
2634 16188
2634 9019
2634 16692
2634 5735
2634 3483
14072 14855
6453 17002
6453 11241
1104 12982
1104 14022
7631 13131
6237 14146
6237 9068
6237 13789
6237 8473
6237 8700
6237 15979
6237 9128
6237 14951
6237 6729
6237 16385
14242 15229
14242 16100
14242 14554
14242 15990
2516 15982
2516 11861
2516 13461
1265 6179
1265 14001
1265 12653
1265 1877
430 10246
4445 16372
4445 7326
4445 6435
4445 15341
4445 14026
4445 12641
7258 10576
7258 12016
7258 15663
5840 14582
5840 13960
5840 9115
5840 16333
5840 8102
16041 16993
12045 13473
12045 16343
8358 17158
8358 13073
8358 10674
8358 11123
2267 14156
2267 3693
2267 6888
2267 7069
251 16613
251 9359
251 16059
251 16838
251 15780
251 17185
9515 13894
9515 12854
9515 12773
10033 12543
3834 11283
3834 16267
3834 16597
3834 6814
3834 10762
3834 16858
3834 15189
3834 9793
3834 17108
3834 15325
1002 11287
1002 4999
1002 5516
6856 7956
3961 4353
3961 9099
3961 14557
3741 16101
3741 13365
3741 9546
3741 13671
3741 3976
12093 13081
12093 17122
12093 15245
12093 12495
12269 14234
11477 16704
2456 2844
2456 9010
2456 3996
8954 10851
8954 15602
3109 16054
3109 5390
14074 15850
7718 14317
7718 9146
7718 11469
7718 13440
7718 13010
7718 10620
7718 15450
7718 14871
7718 12776
7718 12907
7718 16849
7718 13008
7718 16529
7718 14935
2979 17059
7562 12387
7562 9993
7562 12260
3056 3663
3056 15690
9317 17109
9317 15501
3312 5969
3312 12576
3312 4547
3312 12679
3312 3953
3312 13900
3312 7394
3312 10962
3312 7951
3312 13845
7617 17124
5503 16542
5503 13058
15968 16132
12113 14359
1196 3630
1196 13794
108 12853
108 6975
108 6176
108 12781
55 7291
55 7858
4161 14305
4161 5730
100 6426
100 13989
100 2662
7227 9729
7227 15035
2461 10483
2461 5167
2461 9949
2461 12493
2461 5088
9963 14548
9963 10499
9963 13284
9963 10182
9963 15606
9963 9986
9963 15744
9963 12246
9963 12879
6105 9729
3760 9550
3760 14243
3760 14740
16437 16873
7436 16691
7436 10586
7436 13432
7436 9584
10010 13317
10010 10753
2933 12403
2933 2943
2933 15200
